id,logType,enableAssert,blockOnErrorAssert,paramCount,domestic_tips,cn_message,,cn_fixed_tips,en_message,en_fixed_tips
10000,Error,TRUE,TRUE,,,"Error,上级类中的MetaClass没有绑定!!",,检查类定义关键字、继承/接口与成员声明顺序。,,
10001,Error,TRUE,FALSE,,,已添加了空间命名节点，不允许有重复名称的类节点再次添加,,检查类定义关键字、继承/接口与成员声明顺序。,,
10002,Error,TRUE,FALSE,,,Error 查到内部不是内部内，可能有相同成员,,根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。,,
10003,Error,TRUE,FALSE,,,Error 查到内部不是内部内，可能有相同成员,,根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。,,
10004,Error,TRUE,FALSE,,,命名空间中，已定义其它非命名空间的类型 !!,,检查类定义关键字、继承/接口与成员声明顺序。,,
10005,Error,TRUE,FALSE,,,类:,,检查类定义关键字、继承/接口与成员声明顺序。,,
10006,Error,TRUE,FALSE,,,类:,,检查类定义关键字、继承/接口与成员声明顺序。,,
10007,Error,TRUE,FALSE,,,类:,,检查类定义关键字、继承/接口与成员声明顺序。,,
10008,Error,TRUE,FALSE,,,类:,,检查类定义关键字、继承/接口与成员声明顺序。,,
10009,Error,TRUE,FALSE,,,Error 使用的强定制类节点的方式中，没有查找到相关的类，所以不允许定义该类，请先在工程中定义类,,检查类定义关键字、继承/接口与成员声明顺序。,,
10010,Error,TRUE,FALSE,,,Class 中，使用关键字，不允许使用Const,,检查类定义关键字、继承/接口与成员声明顺序。,,
10011,Error,TRUE,FALSE,,,查找接口类中的要实现的函数，实现失败函数名称,,检查函数签名、参数数量与静态/实例调用方式。,,
10012,Error,TRUE,FALSE,,,Error 在类的值: ,,检查类定义关键字、继承/接口与成员声明顺序。,,
10013,Error,TRUE,FALSE,,,找到了已有命名空间而不是要继承的类!!,,检查类定义关键字、继承/接口与成员声明顺序。,,
10014,Error,TRUE,FALSE,,, CheckExtendAndInterface 在判断继承的时候，发没的:,,根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。,,
10015,Error,TRUE,FALSE,,,CreateExpressNode FileMetaBaseTerm 为空 !!,,根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。,,
10016,Error,TRUE,FALSE,,,不允许使用If语句!!,,根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。,,
10017,Error,TRUE,FALSE,,,不允许使用Switch语句!!,,根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。,,
